"","year","id","scans.feed","scans.obs.x","propfeed","scans.perch","scans.obs.y","propperch","avemass","hf","bc","survival_age","survived"
"92","2015","46",2,29,0.0689655172413793,15,29,0.517241379310345,219.642857142857,42,0.336155764300157,4,1
"93","2015","49",5,25,0.2,9,25,0.36,227.413793103448,40.6,0.502364350791503,4,1
"94","2015","53",2,20,0.1,13,20,0.65,202.142857142857,41.9,0.262369807033142,4,1
"95","2015","56",6,22,0.272727272727273,8,22,0.363636363636364,234.838709677419,42.75,0.334428561079001,3,1
"96","2015","57",1,15,0.0666666666666667,7,15,0.466666666666667,246.363636363636,41.925,0.457891162723788,3,1
"97","2015","66",1,9,0.111111111111111,3,9,0.333333333333333,245,43.35,0.322750519363496,4,1
"98","2015","68",3,8,0.375,3,8,0.375,218.461538461538,41.9,0.340005119704832,2,1
"99","2015","72",2,7,0.285714285714286,4,7,0.571428571428571,215.714285714286,42.8,0.244952417902548,3,1
"100","2015","76",2,17,0.117647058823529,10,17,0.588235294117647,251.666666666667,44,0.291894941090624,3,1
"101","2015","77",5,23,0.217391304347826,11,23,0.478260869565217,249.583333333333,40.85,0.571585320742638,2,1
"102","2015","79",2,11,0.181818181818182,7,11,0.636363636363636,214.375,40.3,0.472074932813483,4,1
"103","2015","81",6,20,0.3,4,20,0.2,249,42.9,0.379402420687643,4,1
"104","2015","86",4,17,0.235294117647059,5,17,0.294117647058824,231.25,42.4,0.350902113215456,3,1
"105","2015","89",1,19,0.0526315789473684,7,19,0.368421052631579,210.172413793103,42.3333333333333,0.261431838490821,4,1
"106","2015","95",3,17,0.176470588235294,5,17,0.294117647058824,253.75,43.8,0.317802433804493,3,1
"107","2015","99",3,21,0.142857142857143,10,21,0.476190476190476,205.869565217391,42.0666666666667,0.265246432244694,2,1
"108","2015","102",4,31,0.129032258064516,10,31,0.32258064516129,210.322580645161,41,0.38622433386358,2,1
"109","2015","111",1,21,0.0476190476190476,14,21,0.666666666666667,227.352941176471,42.18,0.354075829835482,3,1
